"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
101472708,"2025-04-27 14:40:00","4x10:00/2:00r row",40:00.0,2400,8:00.0,480,7723,91,30,1213,2:35.3,93,621,413,,119,38,Hwt,RowErg,No,,"2025-04-27 04:40:47"
101399715,"2025-04-26 07:31:00","10:00 row",10:00.0,600,,,2052,,29,297,2:26.1,112,685,112,,130,38,Hwt,RowErg,No,,"2025-04-25 21:31:55"
101352531,"2025-04-25 15:23:00","10:00 row",10:00.0,600,,,2111,,31,315,2:22.1,122,719,118,,130,38,Hwt,RowErg,No,,"2025-04-25 05:23:36"
101250362,"2025-04-24 04:06:00","10:00 row",10:00.0,600,,,2074,,31,314,2:24.6,116,698,114,,146,38,Hwt,RowErg,No,,"2025-04-23 18:07:13"
101091877,"2025-04-22 04:07:00","10:00 row",10:00.0,600,,,2003,,33,337,2:29.7,104,658,111,,131,38,Hwt,RowErg,No,,"2025-04-21 19:14:20"
100876600,"2025-04-19 07:46:00","10:00 row",10:00.0,600,,,2139,,30,302,2:20.2,127,736,120,,245,38,Hwt,RowErg,No,,"2025-04-18 22:58:26"
100811097,"2025-04-18 04:02:00","10:00 row",10:00.0,600,,,2052,,35,352,2:26.1,112,685,113,,181,38,Hwt,RowErg,No,,"2025-04-17 18:59:41"
100669227,"2025-04-15 04:40:00","10:00 row",10:00.0,600,,,2033,,34,346,2:27.5,109,674,110,,98,38,Hwt,RowErg,No,,"2025-04-14 18:40:57"
100564064,"2025-04-12 05:49:00","1:00:00 row",1:00:00.0,3600,,,11204,,29,1757,2:40.6,84,590,589,,100,38,Hwt,RowErg,No,,"2025-04-11 19:49:45"
100507927,"2025-04-10 22:07:00","10:00 row",10:00.0,600,,,2123,,33,335,2:21.3,124,726,120,,135,38,Hwt,RowErg,No,,"2025-04-10 12:11:03"
100341329,"2025-04-06 19:47:00","5:00 SkiErg",5:00.0,300,,,930,,38,193,2:41.2,83,587,47,,106,38,,SkiErg,No,,"2025-04-06 09:46:36"
100340456,"2025-04-06 19:15:00","4x5:00/2:00r row",20:00.0,1200,8:00.0,480,4073,81,32,649,2:27.3,109,676,223,,160,38,Hwt,RowErg,No,,"2025-04-06 09:14:32"
100339730,"2025-04-06 18:46:00","5:07 row",5:07.2,307.2,,,1041,,33,167,2:27.5,109,674,57,,155,38,Hwt,RowErg,No,,"2025-04-06 08:45:29"
100339559,"2025-04-06 18:40:00","0:27 row",0:27.5,27.5,,,83,,28,13,2:45.6,77,564,4,,220,38,Hwt,RowErg,No,,"2025-04-06 08:39:21"
100235278,"2025-04-03 20:22:00","10:00 row",10:00.0,600,,,2226,,34,349,2:14.7,143,792,131,,141,38,Hwt,RowErg,No,,"2025-04-03 10:21:56"
100149237,"2025-04-01 20:44:00","10:00 row",10:00.0,600,,,2017,,34,344,2:28.7,106,666,110,,141,38,Hwt,RowErg,No,,"2025-04-01 10:44:19"
100084468,"2025-03-31 05:22:00","1:00:00 row",1:00:00.0,3600,,,11533,,30,1821,2:36.0,92,616,616,,116,38,Hwt,RowErg,No,,"2025-03-30 19:21:36"
100029008,"2025-03-29 18:53:00","10:00 row",10:00.0,600,,,2093,,34,341,2:23.3,119,709,116,,141,38,Hwt,RowErg,No,,"2025-03-29 08:52:42"
99993117,"2025-03-28 18:40:00","10:00 row",10:00.0,600,,,2182,,35,349,2:17.4,135,763,125,,144,38,Hwt,RowErg,No,,"2025-03-28 08:40:17"
99818559,"2025-03-24 20:11:00","10:00 row",10:00.0,600,,,2061,,32,323,2:25.5,113,690,112,,111,38,Hwt,RowErg,No,,"2025-03-24 10:10:17"
99742681,"2025-03-22 16:37:00","7:21 row",7:21.5,441.5,,,1411,,33,272,2:36.4,91,614,75,,122,38,Hwt,RowErg,No,,"2025-03-22 06:36:28"
99711781,"2025-03-21 21:01:00","10:00 row",10:00.0,600,,,2124,,30,306,2:21.2,124,727,120,,210,38,Hwt,RowErg,No,,"2025-03-21 11:01:26"
99526386,"2025-03-17 19:39:00","10:00 row",10:00.0,600,,,2124,,33,330,2:21.2,124,727,118,,146,38,Hwt,RowErg,No,,"2025-03-17 09:39:11"
99453968,"2025-03-15 19:33:00","1000m SkiErg",5:26.8,326.8,,,1000,,38,210,2:43.4,80,576,50,,73,38,,SkiErg,No,,"2025-03-15 10:32:22"
99375557,"2025-03-13 21:12:00","10:00 row",10:00.0,600,,,2053,,33,329,2:26.1,112,686,111,,131,38,Hwt,RowErg,No,,"2025-03-13 11:12:00"
99229779,"2025-03-10 15:22:00","10:00 row",10:00.0,600,,,2205,,32,325,2:16.0,139,778,128,,174,38,Hwt,RowErg,No,,"2025-03-10 05:21:59"
99056489,"2025-03-06 04:37:00","10:00 row",10:00.0,600,,,2171,,34,345,2:18.1,133,756,125,,163,38,Hwt,RowErg,No,,"2025-03-05 18:37:55"
98891099,"2025-03-02 09:58:00","v10:00/2:00r...6 row",1:00:00.0,3600,12:00.0,720,11758,115,31,1882,2:33.0,98,635,634,,130,38,Hwt,RowErg,No,,"2025-03-01 23:57:56"
98864107,"2025-03-01 20:10:00","10:00 row",10:00.0,600,,,2108,,32,322,2:22.3,121,717,117,,140,38,Hwt,RowErg,No,,"2025-03-01 10:10:00"
98804685,"2025-02-28 04:46:00","1:00:00 row",1:00:00.0,3600,,,11159,,35,2111,2:41.3,83,587,585,,195,38,Hwt,RowErg,No,,"2025-02-27 18:47:42"
98755742,"2025-02-27 04:01:00","10:00 row",10:00.0,600,,,2174,,34,341,2:17.9,133,758,125,,154,38,Hwt,RowErg,No,,"2025-02-26 18:01:07"
98707534,"2025-02-26 04:02:00","10:00 row",10:00.0,600,,,2109,,31,311,2:22.2,122,718,117,,141,38,Hwt,RowErg,No,,"2025-02-25 18:02:27"
98572724,"2025-02-22 23:46:00","10:00 row",10:00.0,600,,,2039,,31,313,2:27.1,110,678,111,,124,38,Hwt,RowErg,No,,"2025-02-22 13:46:45"
98488503,"2025-02-20 22:49:00","10:00 row",10:00.0,600,,,2195,,34,346,2:16.6,137,771,126,,161,38,Hwt,RowErg,No,,"2025-02-20 12:49:38"
98387554,"2025-02-18 21:18:00","10:00 row",10:00.0,600,,,2146,,31,320,2:19.7,128,740,121,,176,38,Hwt,RowErg,No,,"2025-02-18 11:19:03"
